,v_state,t_state,county,tweets_count,ADI,month,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,administered_dose1_pop_pct_12,administered_dose1_pop_pct_01,administered_dose1_pop_pct_02,administered_dose1_pop_pct_03,svi_ctgy,metro_status,census2019,Dominant Topic
0,SC,South Carolina,Abbeville County,3,77.0,3,0.198467546,0.013637843,0.013638303,0.013637838,0.013638341,0.095466046,0.013638243,0.077855684,0.156648472,0.013637872,0.362454662,0.0,9.4,16.1,24.5,D,Non-metro,24527,11
1,LA,Louisiana,Acadia Parish,6,74.0,3,0.05150626,0.017220876,0.017220593,0.017220318,0.176304659,0.017221502,0.148712777,0.098243744,0.365862628,0.017220474,0.073266191,0.0,7.0,12.9,22.2,D,Metro,62045,9
2,VA,Virginia,Accomack County,4,62.0,3,0.004547519,0.063743857,0.048503845,0.055905826,0.004547456,0.004547536,0.004547451,0.178834263,0.31024688,0.139172667,0.151964635,0.0,11.1,20.6,35.1,D,Non-metro,32316,9
3,ID,Idaho,Ada County,20,44.0,1,0.130331653,0.048212418,0.091224825,0.072184627,0.118628502,0.105437469,0.071352838,0.111824073,0.124351808,0.047906852,0.068120108,0.0,7.8,16.8,32.6,A,Metro,481587,1
4,ID,Idaho,Ada County,48,44.0,2,0.089699819,0.057590773,0.045453941,0.09049614,0.060920524,0.107184279,0.056363176,0.090122952,0.136631365,0.09760419,0.145949626,0.0,7.8,16.8,32.6,A,Metro,481587,11
5,ID,Idaho,Ada County,404,44.0,3,0.080221968,0.071936837,0.082386865,0.099040722,0.095010385,0.088208208,0.069953268,0.077726277,0.139154688,0.064109081,0.104016114,0.0,7.8,16.8,32.6,A,Metro,481587,9
6,KY,Kentucky,Adair County,2,80.5,3,0.0,0.0,0.34402892,0.0,0.291543573,0.080846168,0.0,0.103355557,0.0,0.0,0.11226362,0.0,4.2,10.1,19.5,C,Non-metro,19202,3
7,MO,Missouri,Adair County,1,79.5,1,0.011367701,0.18697311,0.011367723,0.011367556,0.445953488,0.011370182,0.011367785,0.01136806,0.011369111,0.011368159,0.27612713,0.0,5.4,17.4,27.9,B,Non-metro,25343,5
8,MO,Missouri,Adair County,3,79.5,3,0.02458164,0.024582482,0.024581937,0.024581575,0.203651203,0.178202503,0.296186508,0.062300342,0.024582022,0.112167311,0.024582479,0.0,5.4,17.4,27.9,B,Non-metro,25343,7
9,OK,Oklahoma,Adair County,2,81.5,3,0.006495602,0.006495587,0.069436661,0.006495418,0.006495442,0.224359463,0.044552661,0.006495464,0.1689112,0.268382132,0.173158765,0.0,5.7,12.7,19.2,D,Non-metro,22194,10
10,CO,Colorado,Adams County,1,46.0,1,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.090909094,0.0,0.4,0.7,1.4,C,Metro,517421,1
11,CO,Colorado,Adams County,13,46.0,2,0.088204838,0.021163591,0.030970345,0.021693992,0.0417712,0.119801477,0.103638231,0.06237162,0.113225739,0.11481691,0.268552568,0.0,0.4,0.7,1.4,C,Metro,517421,11
12,CO,Colorado,Adams County,96,46.0,3,0.059059515,0.056711855,0.073266744,0.09526275,0.058483712,0.095101196,0.068783022,0.106283045,0.186471802,0.041510998,0.136582939,0.0,0.4,0.7,1.4,C,Metro,517421,9
13,IL,Illinois,Adams County,1,64.0,1,0.030316619,0.030316873,0.030316327,0.030316418,0.030317435,0.030316059,0.030317063,0.03031813,0.030318376,0.030315967,0.69683075,0.0,18.8,28.9,36.5,A,Non-metro,65435,11
14,IL,Illinois,Adams County,1,64.0,2,0.045455545,0.045458823,0.045457065,0.045455489,0.045458909,0.045463037,0.045455564,0.045458969,0.045461379,0.045455456,0.545419753,0.0,18.8,28.9,36.5,A,Non-metro,65435,11
15,IL,Illinois,Adams County,13,64.0,3,0.01420379,0.049514396,0.098949076,0.104260781,0.008279046,0.094018193,0.154496795,0.100638276,0.238883162,0.033802867,0.075127683,0.0,18.8,28.9,36.5,A,Non-metro,65435,9
16,IN,Indiana,Adams County,2,63.0,3,0.012985606,0.012986942,0.012985805,0.012985274,0.493211642,0.01298723,0.088638174,0.01298547,0.130559749,0.196687927,0.012986183,0.0,7.0,12.8,19.8,C,Non-metro,35777,5
17,MS,Mississippi,Adams County,2,87.0,2,0.061769673,0.011365421,0.011365418,0.261364251,0.224672608,0.011365419,0.011365419,0.159000045,0.011365418,0.198451494,0.011365418,0.0,8.2,16.6,28.7,D,Non-metro,30693,4
18,MS,Mississippi,Adams County,9,87.0,3,0.157336776,0.058604943,0.038645327,0.244708665,0.095597217,0.059526222,0.115590065,0.038311321,0.008787911,0.160013758,0.00878803,0.0,8.2,16.6,28.7,D,Non-metro,30693,4
19,NE,Nebraska,Adams County,1,57.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.208240643,0.0,0.0,0.0,0.72879976,0.0,0.0,2.0,12.2,B,Non-metro,31363,11
20,NE,Nebraska,Adams County,1,57.0,2,0.0,0.084815286,0.0,0.0,0.301014394,0.41785875,0.0,0.162785023,0.0,0.0,0.0,0.0,0.0,2.0,12.2,B,Non-metro,31363,6
21,NE,Nebraska,Adams County,11,57.0,3,0.105702127,0.109446257,0.034792668,0.031267094,0.095843356,0.082340795,0.113979091,0.079236376,0.088350959,0.093706231,0.132353183,0.0,0.0,2.0,12.2,B,Non-metro,31363,11
22,OH,Ohio,Adams County,8,79.0,3,0.008699657,0.001420639,0.001420652,0.065741812,0.026972884,0.081393366,0.026074229,0.176780711,0.120959116,0.024368033,0.436969538,0.0,3.7,7.7,11.8,D,Non-metro,27698,11
23,PA,Pennsylvania,Adams County,9,41.0,3,0.087791754,0.066837543,0.039243434,0.001122957,0.028361692,0.073250014,0.062007474,0.110217669,0.227389991,0.086633503,0.166391775,0.0,4.4,10.1,22.3,A,Metro,103009,9
24,VT,Vermont,Addison County,2,32.0,2,0.124627069,0.117808379,0.005053517,0.005054138,0.005053345,0.168968193,0.151906155,0.005053034,0.313625549,0.005052913,0.079064784,0.0,7.0,13.5,27.5,A,Non-metro,36777,9
25,VT,Vermont,Addison County,4,32.0,3,0.035800389,0.196835402,0.038088492,0.003247178,0.126669586,0.084381304,0.019195852,0.111090263,0.345032118,0.003247309,0.003247557,0.0,7.0,13.5,27.5,A,Non-metro,36777,9
26,PR,Puerto Rico,Aguada Municipio,1,92.0,2,0.010102699,0.137954399,0.010102941,0.010102681,0.212936059,0.0101041,0.425355703,0.010103302,0.01010392,0.153030172,0.010104014,0.0,4.5,8.2,20.6,A,Metro,36694,7
27,PR,Puerto Rico,Aguada Municipio,1,92.0,3,0.022730883,0.022731228,0.368852556,0.022730833,0.022732848,0.022730835,0.022731179,0.022731818,0.022733258,0.022729844,0.426564753,0.0,4.5,8.2,20.6,A,Metro,36694,11
28,PR,Puerto Rico,Aguadilla Municipio,1,83.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194376662,0.154805928,0.0,0.584685028,0.0,4.6,8.9,21.1,C,Metro,50265,11
29,PR,Puerto Rico,Aguadilla Municipio,9,83.0,3,0.201575606,0.013568942,0.125147969,0.18532738,0.013568399,0.013568759,0.021720973,0.085207529,0.038147172,0.051959992,0.238585122,0.0,4.6,8.9,21.1,C,Metro,50265,11
30,PR,Puerto Rico,Aibonito Municipio,1,83.0,1,0.686418891,0.011366095,0.011366529,0.211281136,0.011366403,0.011367062,0.011366261,0.011368228,0.011366484,0.011366292,0.011366608,0.0,9.7,15.6,32.2,B,Metro,22108,1
31,PR,Puerto Rico,Aibonito Municipio,2,83.0,3,0.006504328,0.006505152,0.170176364,0.379278373,0.077852763,0.106039584,0.006504314,0.006504857,0.006506394,0.07864283,0.121380374,0.0,9.7,15.6,32.2,B,Metro,22108,4
32,SC,South Carolina,Aiken County,1,72.0,1,0.0,0.0,0.296926141,0.300141215,0.0,0.0,0.0,0.330177903,0.0,0.0,0.0,0.0,5.7,12.9,22.8,C,Metro,170872,8
33,SC,South Carolina,Aiken County,3,72.0,2,0.3365376,0.003367926,0.003367847,0.025453083,0.136634017,0.042115182,0.003367951,0.003368117,0.067787752,0.037492029,0.309870213,0.0,5.7,12.9,22.8,C,Metro,170872,1
34,SC,South Carolina,Aiken County,38,72.0,3,0.055683884,0.082734528,0.048222184,0.131623484,0.065113601,0.10968108,0.043300832,0.037081785,0.161609048,0.094396343,0.152267454,0.0,5.7,12.9,22.8,C,Metro,170872,9
35,MN,Minnesota,Aitkin County,21,53.0,1,0.234324248,0.062104386,0.084870441,0.152554914,0.078899755,0.052695829,0.045079941,0.092005164,0.081300819,0.046053264,0.055617475,0.0,12.0,23.8,38.4,B,Non-metro,15886,1
36,MN,Minnesota,Aitkin County,71,53.0,2,0.120234815,0.07715079,0.02726725,0.09686188,0.05128271,0.09950179,0.037614343,0.089369528,0.08529005,0.103024219,0.182425489,0.0,12.0,23.8,38.4,B,Non-metro,15886,11
37,MN,Minnesota,Aitkin County,357,53.0,3,0.097462768,0.065470702,0.062467318,0.070312347,0.088272642,0.082890622,0.063353313,0.097084396,0.141149468,0.062396345,0.142153145,0.0,12.0,23.8,38.4,B,Non-metro,15886,11
38,FL,Florida,Alachua County,5,69.0,1,0.255865584,0.014400901,0.053783682,0.058188666,0.014400605,0.176167763,0.098386508,0.014401255,0.19157729,0.092032256,0.014400547,0.0,12.9,19.0,31.2,B,Metro,269043,1
39,FL,Florida,Alachua County,18,69.0,2,0.1103129,0.024450273,0.111507957,0.074228919,0.052109774,0.123023875,0.154621881,0.056520701,0.098400958,0.013246552,0.164538346,0.0,12.9,19.0,31.2,B,Metro,269043,11
40,FL,Florida,Alachua County,143,69.0,3,0.068089192,0.066707927,0.076008965,0.068347102,0.109343102,0.105435403,0.075081579,0.089981238,0.156795392,0.048562207,0.111128681,0.0,12.9,19.0,31.2,B,Metro,269043,9
41,NC,North Carolina,Alamance County,5,67.0,1,0.154970127,0.009091763,0.043334047,0.134573365,0.036604006,0.116661794,0.024046942,0.009091792,0.144256611,0.134699655,0.163306183,0.0,7.0,15.5,30.0,D,Metro,169509,11
42,NC,North Carolina,Alamance County,3,67.0,2,0.01039658,0.010398889,0.103092184,0.010396798,0.01039681,0.509793699,0.097871862,0.010396865,0.080780847,0.034218136,0.112152233,0.0,7.0,15.5,30.0,D,Metro,169509,6
43,NC,North Carolina,Alamance County,36,67.0,3,0.110822596,0.040486688,0.089644221,0.069480107,0.099001508,0.065370697,0.074775988,0.073878933,0.166332138,0.062673614,0.130855209,0.0,7.0,15.5,30.0,D,Metro,169509,9
44,CA,California,Alameda County,84,11.0,1,0.113837678,0.041331414,0.045991619,0.091993158,0.058109478,0.133395912,0.053617396,0.05766947,0.206018231,0.068073093,0.105347892,0.0,6.6,17.7,32.4,B,Metro,1671329,9
45,CA,California,Alameda County,247,11.0,2,0.111517381,0.053721963,0.04459907,0.0926017,0.099518135,0.097429967,0.057143535,0.10009068,0.119033061,0.075665433,0.125297037,0.0,6.6,17.7,32.4,B,Metro,1671329,11
46,CA,California,Alameda County,1808,11.0,3,0.085215338,0.064366482,0.087102132,0.075691834,0.099272235,0.086675714,0.064455242,0.090163225,0.130528111,0.066295303,0.124540925,0.0,6.6,17.7,32.4,B,Metro,1671329,9
47,CO,Colorado,Alamosa County,1,60.0,2,0.322737783,0.0,0.0,0.0,0.259394228,0.0,0.0,0.0,0.0,0.0,0.383216798,0.0,0.0,0.4,10.5,D,Non-metro,16233,11
48,CO,Colorado,Alamosa County,3,60.0,3,0.118327495,0.011364747,0.128220474,0.049893907,0.011364632,0.096088426,0.011364566,0.011364964,0.384095756,0.144505604,0.011365097,0.0,0.0,0.4,10.5,D,Non-metro,16233,9
49,NY,New York,Albany County,3,40.0,1,0.177836507,0.145702425,0.308138529,0.055970344,0.064703312,0.06419367,0.059120955,0.01095624,0.010955837,0.010955492,0.0914667,0.0,9.2,15.7,35.1,B,Metro,305506,3
50,NY,New York,Albany County,23,40.0,2,0.089339179,0.075276711,0.119392214,0.070622551,0.03013483,0.119280403,0.02607468,0.070409517,0.083432656,0.121724659,0.168250499,0.0,9.2,15.7,35.1,B,Metro,305506,11
51,NY,New York,Albany County,125,40.0,3,0.087481751,0.091712443,0.052581341,0.105813923,0.081538844,0.069525569,0.070767323,0.077642782,0.123833037,0.095880109,0.119106941,0.0,9.2,15.7,35.1,B,Metro,305506,9
52,WY,Wyoming,Albany County,1,52.0,1,0.0,0.0,0.0,0.0,0.501617432,0.435372531,0.0,0.0,0.0,0.0,0.0,0.0,4.1,12.4,28.5,A,Non-metro,38880,5
53,WY,Wyoming,Albany County,3,52.0,2,0.304787926,0.030627886,0.007581623,0.033130528,0.057002908,0.007582694,0.007581636,0.049715602,0.198782407,0.191379502,0.086781401,0.0,4.1,12.4,28.5,A,Non-metro,38880,1
54,WY,Wyoming,Albany County,14,52.0,3,0.06963637,0.052241579,0.092547374,0.09467691,0.110561563,0.112032608,0.045884111,0.05978715,0.143188845,0.115486731,0.078956594,0.0,4.1,12.4,28.5,A,Non-metro,38880,9
55,VA,Virginia,Albemarle County,31,21.5,3,0.068497643,0.052591532,0.108486483,0.148542287,0.066504642,0.092343659,0.061868305,0.080062867,0.1139404,0.059501003,0.117350579,0.0,4.2,7.2,12.9,A,Metro,109330,4
56,MS,Mississippi,Alcorn County,1,82.0,2,0.42624408,0.0,0.0,0.0,0.0,0.0,0.0,0.368902743,0.0,0.14415668,0.0,0.0,7.7,12.4,20.9,C,Non-metro,36953,1
57,NC,North Carolina,Alexander County,1,72.5,3,0.11065492,0.0,0.0,0.0,0.0,0.177727193,0.0,0.055681732,0.0,0.0,0.620565236,0.0,7.7,14.2,25.9,C,Metro,37497,11
58,IA,Iowa,Allamakee County,1,66.0,2,0.0,0.0,0.0,0.0,0.0,0.59675467,0.181898907,0.0,0.0,0.17586717,0.0,0.0,7.1,19.6,35.2,B,Non-metro,13687,6
59,IA,Iowa,Allamakee County,6,66.0,3,0.0349055,0.00673644,0.021864749,0.091632487,0.12724605,0.073556909,0.07917118,0.006736729,0.302735161,0.169304576,0.071450123,0.0,7.1,19.6,35.2,B,Non-metro,13687,9
60,MI,Michigan,Allegan County,1,55.0,1,0.030303823,0.030303942,0.030304253,0.696960092,0.030303804,0.030303763,0.030303949,0.030303763,0.030303754,0.030305127,0.030303763,0.0,6.7,11.8,25.6,A,Non-metro,118081,4
61,MI,Michigan,Allegan County,2,55.0,2,0.075720578,0.394145072,0.0,0.0,0.0,0.0,0.0,0.0,0.067033514,0.139853701,0.286654145,0.0,6.7,11.8,25.6,A,Non-metro,118081,2
62,MI,Michigan,Allegan County,65,55.0,3,0.162762692,0.063107608,0.06889192,0.166664847,0.08414519,0.054290549,0.087075805,0.060169876,0.048141641,0.076449271,0.108961544,0.0,6.7,11.8,25.6,A,Non-metro,118081,4
63,MD,Maryland,Allegany County,4,67.0,2,0.148732758,0.268084113,0.013477987,0.01347795,0.079482892,0.232952394,0.013477633,0.013478123,0.013479061,0.179262942,0.013479172,0.0,10.2,15.2,26.6,C,Metro,70416,2
64,MD,Maryland,Allegany County,28,67.0,3,0.043004891,0.053078421,0.01544847,0.018575185,0.083732935,0.112883905,0.031951252,0.101789249,0.186332808,0.041992393,0.290889677,0.0,10.2,15.2,26.6,C,Metro,70416,11
65,NY,New York,Allegany County,1,78.0,2,0.144085512,0.0,0.0,0.0,0.11414735,0.0,0.0,0.206980795,0.0,0.0,0.49941951,0.0,4.6,8.5,22.2,C,Non-metro,46091,11
66,NY,New York,Allegany County,3,78.0,3,0.034092847,0.034093157,0.105090217,0.034092892,0.034094198,0.034097307,0.034092827,0.034095858,0.421409356,0.034092964,0.200748374,0.0,4.6,8.5,22.2,C,Non-metro,46091,9
67,VA,Virginia,Alleghany County,10,60.0,3,0.14992169,0.053004356,0.19756734,0.008080319,0.016629588,0.099639745,0.145749865,0.008080432,0.088779951,0.165585143,0.049400488,0.0,0.0,1.5,2.8,B,Non-metro,14860,3
68,PA,Pennsylvania,Allegheny County,94,62.0,1,0.191596123,0.029778614,0.042208772,0.128748143,0.100351005,0.074371432,0.049789187,0.091267122,0.10333049,0.070710892,0.09509925,0.0,7.2,15.4,35.3,B,Metro,1216045,1
69,PA,Pennsylvania,Allegheny County,210,62.0,2,0.166854174,0.070612132,0.042663892,0.09361211,0.073748433,0.075626007,0.047511548,0.071584756,0.074280401,0.090767106,0.166979594,0.0,7.2,15.4,35.3,B,Metro,1216045,11
